Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Returns,,,,,
06-Apr-15,8615.8,8667.55,8573.75,8659.9,150877855,7633,4.62E-05,,,,,
07-Apr-15,8684.45,8693.6,8586.85,8660.3,141765381,7287.01,0.006227466,,,,,
08-Apr-15,8698.95,8730.5,8679.8,8714.4,149617725,7889.65,0.007305937,,,,,
09-Apr-15,8756.2,8785.5,8682.45,8778.3,158192905,8391.19,0.000233503,,,,,
10-Apr-15,8774.35,8787.4,8733.6,8780.35,141464357,7119.96,0.006091643,,,,,
13-Apr-15,8801.75,8841.65,8762.1,8834,122833397,6242.71,-0.009531356,,,,,
15-Apr-15,8844.75,8844.8,8722.4,8750.2,170458015,8908.26,-0.004983713,,,,,
16-Apr-15,8757.05,8760,8645.65,8706.7,149337173,8268.33,-0.01163321,,,,,
17-Apr-15,8698.05,8699.85,8596.7,8606,155474164,9134.37,-0.01851807,,,,,
20-Apr-15,8618.8,8619.95,8422.75,8448.1,154492312,8930.38,-0.008362182,,,,,
21-Apr-15,8416.1,8469.35,8352.7,8377.75,418959074,32873.45,0.006181802,,,,,
22-Apr-15,8400.4,8449.95,8284.7,8429.7,176926942,10002.48,-0.00373188,,,,,
23-Apr-15,8478.2,8504.95,8361.85,8398.3,169840748,9801.34,-0.011141459,,,,,
24-Apr-15,8405.7,8413.3,8273.35,8305.25,177843969,10984.24,-0.011072178,,,,,
27-Apr-15,8330.55,8334.45,8202.35,8213.8,174706337,10143.36,0.008703402,,,,,
28-Apr-15,8215.55,8308,8185.15,8285.6,183754628,9560.13,-0.005549065,,,,,
29-Apr-15,8274.8,8308.2,8219.2,8239.75,174958511,8571.95,-0.007094496,,,,,
30-Apr-15,8224.5,8229.4,8144.75,8181.5,281696257,14755.35,0.018222015,,,,,
04-May-15,8230.05,8346,8220.45,8331.95,136913823,7856.18,-0.000858511,,,,,
05-May-15,8338.4,8355.65,8280.6,8324.8,156019941,8138.54,-0.027745389,,,,,
06-May-15,8316.6,8331.95,8083,8097,212509839,10894.12,-0.00491511,,,,,
07-May-15,8077,8122.6,7997.15,8057.3,166563657,8443.96,0.016518518,,,,,
08-May-15,8131.5,8224.95,8123.45,8191.5,188776090,8961.33,0.016196034,,,,,
11-May-15,8243.2,8332.75,8224.65,8325.25,197882948,8396.12,-0.024107366,,,,,
12-May-15,8326.15,8326.65,8115.3,8126.95,178753978,8779.53,0.013262308,,,,,
13-May-15,8181.55,8254.95,8089.8,8235.45,175015183,8391.93,-0.001366979,,,,,
14-May-15,8232.45,8236.25,8137.3,8224.2,138964395,6763.72,0.004628023,,,,,
15-May-15,8240.3,8279.2,8212.2,8262.35,133838055,6463.64,0.01338082,,,,,
18-May-15,8284.95,8384.6,8271.95,8373.65,153340463,7459.18,-0.000955835,,,,,
19-May-15,8356.2,8427.8,8335,8365.65,144642344,7266.52,0.006861703,,,,,
20-May-15,8392.65,8440.35,8391.45,8423.25,127388797,6151.44,-0.000267153,,,,,
21-May-15,8434.5,8446.35,8382.5,8421,148189485,7641.6,0.004496466,,,,,
22-May-15,8432.5,8489.55,8420.6,8458.95,193080657,8261.69,-0.0105413,,,,,
25-May-15,8438.15,8441.95,8364.15,8370.25,125051166,5555.29,-0.003698477,,,,,
